date,content,video_title,video_publish_time,duration,average_percentage_viewed_(%)
2021-07-16, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-07-17, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-07-18, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-07-19, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-07-20, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-07-21, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-07-22, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-07-23, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-07-24, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-07-25, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-07-26, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-07-27, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-07-28, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-07-29, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-07-30, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-07-31, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-08-01, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-08-02, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-08-03, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-08-04, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-08-05, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-08-06, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-08-07, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-08-08, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-08-09, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-08-10, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-08-11, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-08-12, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-08-13, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-08-14, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-08-15, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-08-16, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-08-17, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-08-18, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-08-19, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-08-20, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-08-21, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-08-22, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-08-23, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-08-24, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-08-25, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-08-26, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-08-27, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-08-28, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-08-29, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-08-30, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-08-31, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-09-01, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-09-02, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-09-03, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-09-04, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-09-05, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-09-06, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-09-07, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-09-08, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-09-09, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-09-10, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-09-11, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-09-12, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-09-13, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-09-14, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-09-15, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-09-16, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-09-17, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-09-18, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-09-19, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-09-20, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-09-21, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-09-22, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-09-23, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-09-24, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-09-25, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-09-26, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-09-27, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-09-28, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-09-29, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-09-30, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-10-01, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-10-02, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-10-03, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-10-04, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-10-05, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-10-06, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-10-07, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-10-08, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-10-09, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-10-10, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-10-11, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-10-12, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-10-13, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-10-14, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-10-15, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-10-16, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-10-17, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-10-18, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-10-19, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-10-20, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-10-21, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-10-22, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-10-23, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-10-24, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-10-25, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-10-26, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-10-27, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-10-28, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-10-29, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-10-30, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-10-31, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
2021-11-01, -e0JZNRR-QA,Ethioware Product Description,Unknown,96.0,0.0
