content,video_title,video_publish_time,duration,average_percentage_viewed_(%),engaged_views,views,watch_time_(hours),subscribers,average_view_duration,impressions,impressions_click-through_rate_(%)
WcGwa_XZQxI,Importance of Digital Literacy,2024-08-12,2497.0,2.04,239,239,3.3871,3,00:00:51,1308,10.78
DDPoud4wCtY,The reason I left Google Deep Mind,2025-04-08,4275.0,3.96,48,48,2.26,0,00:02:49,335,5.07
 -e0JZNRR-QA,Ethioware Product Description,,96.0,29.17,6,6,0.0467,0,00:00:28,0,0.0
25Txzdyd3Yo,"Comment ""apply"" for the application link",2024-08-10,61.0,25.63,54,54,0.2317,0,00:00:15,794,1.76
DYK2HKo-aco,Company Email Setup,,123.0,103.69,48,48,1.7005,0,00:02:07,0,0.0
JJZ6PjebrSk,Introduction to Ethioware EdTech Initiative,,61.0,72.51,6,6,0.0737,0,00:00:44,0,0.0
O4EzwF6JgSE,Welcome!,2025-07-28,52.0,58.11,16,16,0.1343,0,00:00:30,106,4.72
SeHpVNXnI3c,Pitch deck,,90.0,35.21,3,3,0.0264,0,00:00:31,0,0.0
Xqb8_m5vSTI,"GDG Addis Devfest, 2024. Hosted by  @alxethiopia  ​",,831.0,30.21,4,4,0.2789,0,00:04:11,0,0.0
Z629OefDUAw,SE at the Global Stage  Journey of Mr  Amanuel Sisay,,2768.0,0.69,1,1,0.0053,0,00:00:19,0,0.0
Z9lzl0DzWHQ,Ethioware Pre-Training Graduation: May Cohort,2025-07-05,3110.0,7.89,126,126,8.5908,1,00:04:05,1480,1.55
_FdAB8qx9Ak,Who are we?,,465.0,30.02,12,12,0.4653,0,00:02:19,0,0.0
cHZ_TIDKnuE,Expert Session EP 26: SWE @ Microsoft with Mr  Kaleab,,4481.0,8.87,12,12,1.3246,0,00:06:37,2,0.0
iL99hPBBSBI,Ethioware Medicine Basics Graduation,2025-05-21,3867.0,4.67,81,81,4.0607,3,00:03:00,381,3.15
ij_uwJtaE5E,Internal Medicine  Journey of Dr  Mihret,,5232.0,17.33,20,20,5.0386,0,00:15:06,9,11.11
kTB6cLZuhcg,"GDG Addis Devfest, 2024. Hosted by @alxethiopia",,831.0,27.88,7,7,0.4505,1,00:03:51,0,0.0
ly1yBWyw3OM,Medicine Basics  The journey of Ms  Meklit .Y,,2411.0,8.64,21,21,1.2158,0,00:03:28,0,0.0
rFgA8dFc7ZE,Development at a Global Stage  Journey of Ms  Betelhem D,,4093.0,8.05,36,36,2.2738,0,00:05:29,0,0.0
tiJKLReOyZM,ሀይ አትበሉ! @IBYohannes,2024-10-08,4471.0,3.9,461,461,22.3032,8,00:02:54,4233,3.26
xOGkv1_WWNM,Medicine Basics: Insights from the siblings,2025-04-27,649.0,17.15,101,101,3.123,8,00:01:51,405,2.22
xvt19FNryAU,July Cohort Orientation,,1436.0,20.73,110,110,9.0977,8,00:04:57,2,0.0
 -ErzNW5H7Ks,Day 2,,2445.0,12.12,10,10,0.8234,0,00:04:56,0,0.0
08np20KYF08,Ethioware May Cohort Learner Graduation,,3110.0,8.0,65,65,4.4924,3,00:04:08,0,0.0
1Rg4g-EP_9c,"Webinar, Mar3 '23",,3159.0,2.8,2,2,0.0492,0,00:01:28,0,0.0
1muTtvQdDa0,Startups with Markos Lemma,2023-12-04,3352.0,0.31,13,13,0.0373,1,00:00:10,435,2.53
46ZRM3aVGAw,Applicant Series Ep 01   Sibongile Nhlema,,531.0,18.62,8,8,0.2197,0,00:01:38,0,0.0
4Iht_0XKvu4,Journey of an IOS Developer #3,2023-12-04,1443.0,7.38,10,10,0.296,0,00:01:46,3108,0.19
4imy1oKebR0,Introduction to Python (CS Club),,2757.0,10.47,30,30,2.4065,0,00:04:48,1,0.0
