Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Reposts (organic),Reposts (sponsored),Reposts (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
2024-07-30 00:00:00,34,0,34,12,2,0,2,0,0,0,0,0,0,0,0,0,0.0588235294117647,0,0.0588235294117647
2024-07-31 00:00:00,159,0,159,11,6,0,6,17,0,17,0,0,0,0,0,0,0.144654088050314,0,0.144654088050314
2024-08-01 00:00:00,70,0,70,13,15,0,15,0,0,0,0,0,0,0,0,0,0.214285714285714,0,0.214285714285714
2024-08-02 00:00:00,53,0,53,16,3,0,3,0,0,0,0,0,0,0,0,0,0.0566037735849056,0,0.0566037735849056
2024-08-03 00:00:00,48,0,48,16,1,0,1,0,0,0,0,0,0,0,0,0,0.0208333333333333,0,0.0208333333333333
2024-08-04 00:00:00,27,0,27,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-05 00:00:00,28,0,28,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-06 00:00:00,7,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07 00:00:00,245,0,245,96,17,0,17,0,0,0,0,0,0,0,0,0,0.0408163265306122,0,0.0693877551020408
2024-08-08 00:00:00,406,0,406,169,37,0,37,12,0,12,0,0,0,3,0,3,0.12807881773399,0,0.12807881773399
2024-08-09 00:00:00,258,0,258,112,12,0,12,4,0,4,0,0,0,0,0,0,0.0620155038759689,0,0.0620155038759689
2024-08-10 00:00:00,201,0,201,112,5,0,5,2,0,2,0,0,0,0,0,0,0.0348258706467661,0,0.0348258706467661
2024-08-11 00:00:00,1194,0,1194,526,130,0,130,11,0,11,1,0,1,1,0,1,0.119765494137353,0,0.119765494137353
2024-08-12 00:00:00,653,0,653,316,59,0,59,8,0,8,2,0,2,0,0,0,0.105666156202143,0,0.105666156202143
2024-08-13 00:00:00,308,0,308,140,15,0,15,4,0,4,1,0,1,0,0,0,0.0649350649350649,0,0.0649350649350649
2024-08-14 00:00:00,90,0,90,43,5,0,5,1,0,1,0,0,0,0,0,0,0.0666666666666666,0,0.0666666666666666
2024-08-15 00:00:00,99,0,99,36,0,0,0,1,0,1,0,0,0,0,0,0,0.0101010101010101,0,0.0101010101010101
2024-08-16 00:00:00,49,0,49,18,3,0,3,0,0,0,0,0,0,0,0,0,0.0612244897959183,0,0.0612244897959183
2024-08-17 00:00:00,845,0,845,555,35,0,35,27,0,27,1,0,1,1,0,1,0.0757396449704142,0,0.0757396449704142
2024-08-18 00:00:00,281,0,281,173,20,0,20,7,0,7,0,0,0,0,0,0,0.096085409252669,0,0.096085409252669
2024-08-19 00:00:00,158,0,158,117,5,0,5,7,0,7,0,0,0,0,0,0,0.0759493670886076,0,0.0759493670886076
2024-08-20 00:00:00,129,0,129,89,7,0,7,6,0,6,0,0,0,0,0,0,0.100775193798449,0,0.100775193798449
2024-08-21 00:00:00,128,0,128,74,5,0,5,1,0,1,0,0,0,0,0,0,0.046875,0,0.046875
2024-08-22 00:00:00,101,0,101,46,8,0,8,1,0,1,0,0,0,0,0,0,0.0891089108910891,0,0.0891089108910891
2024-08-23 00:00:00,73,0,73,40,1,0,1,3,0,3,1,0,1,0,0,0,0.0684931506849315,0,0.0684931506849315
2024-08-24 00:00:00,109,0,109,66,6,0,6,3,0,3,0,0,0,0,0,0,0.0825688073394495,0,0.0825688073394495
2024-08-25 00:00:00,59,0,59,33,5,0,5,1,0,1,0,0,0,0,0,0,0.101694915254237,0,0.101694915254237
2024-08-26 00:00:00,78,0,78,54,2,0,2,2,0,2,0,0,0,0,0,0,0.0512820512820512,0,0.0512820512820512
2024-08-27 00:00:00,104,0,104,51,3,0,3,1,0,1,0,0,0,0,0,0,0.0384615384615384,0,0.0384615384615384
2024-08-28 00:00:00,86,0,86,28,3,0,3,0,0,0,0,0,0,0,0,0,0.0348837209302325,0,0.0348837209302325
2024-08-29 00:00:00,80,0,80,26,2,0,2,0,0,0,0,0,0,0,0,0,0.025,0,0.025
2024-08-30 00:00:00,374,0,374,138,22,0,22,5,0,5,1,0,1,0,0,0,0.0748663101604278,0,0.0748663101604278
2024-08-31 00:00:00,399,0,399,121,9,0,9,1,0,1,1,0,1,0,0,0,0.0275689223057644,0,0.0275689223057644
2024-09-01 00:00:00,1082,0,1082,411,116,0,116,23,0,23,1,0,1,1,0,1,0.130314232902033,0,0.130314232902033
2024-09-02 00:00:00,716,0,716,300,65,0,65,8,0,8,2,0,2,0,0,0,0.104748603351955,0,0.104748603351955
2024-09-03 00:00:00,242,0,242,95,13,0,13,4,0,4,0,0,0,0,0,0,0.0702479338842975,0,0.0702479338842975
2024-09-04 00:00:00,226,0,226,104,24,0,24,4,0,4,2,0,2,0,0,0,0.132743362831858,0,0.132743362831858
2024-09-05 00:00:00,213,0,213,92,14,0,14,0,0,0,0,0,0,0,0,0,0.0657276995305164,0,0.0657276995305164
2024-09-06 00:00:00,108,0,108,68,7,0,7,0,0,0,0,0,0,0,0,0,0.0648148148148148,0,0.0648148148148148
2024-09-07 00:00:00,103,0,103,51,11,0,11,1,0,1,0,0,0,0,0,0,0.116504854368932,0,0.116504854368932
2024-09-08 00:00:00,41,0,41,25,12,0,12,1,0,1,0,0,0,0,0,0,0.317073170731707,0,0.317073170731707
2024-09-09 00:00:00,42,0,42,24,1,0,1,0,0,0,0,0,0,0,0,0,0.0238095238095238,0,0.0238095238095238
2024-09-10 00:00:00,35,0,35,24,1,0,1,0,0,0,0,0,0,0,0,0,0.0285714285714285,0,0.0285714285714285
2024-09-11 00:00:00,129,0,129,62,12,0,12,0,0,0,1,0,1,0,0,0,0.100775193798449,0,0.100775193798449
