"Date","Impressions (organic)","Impressions (sponsored)","Impressions (total)","Unique impressions (organic)","Clicks (organic)","Clicks (sponsored)","Clicks (total)","Reactions (organic)","Reactions (sponsored)","Reactions (total)","Comments (organic)","Comments (sponsored)","Comments (total)","Reposts (organic)","Reposts (sponsored)","Reposts (total)","Engagement rate (organic)","Engagement rate (sponsored)","Engagement rate (total)"
"2024-07-30 00:00:00.000000000",34,0,34,12,2,0,2,0,0,0,0,0,0,0,0,0,0.058823529411764705,0,0.058823529411764705
"2024-07-31 00:00:00.000000000",159,0,159,11,6,0,6,17,0,17,0,0,0,0,0,0,0.14465408805031446,0,0.14465408805031446
"2024-08-01 00:00:00.000000000",70,0,70,13,15,0,15,0,0,0,0,0,0,0,0,0,0.21428571428571427,0,0.21428571428571427
"2024-08-02 00:00:00.000000000",53,0,53,16,3,0,3,0,0,0,0,0,0,0,0,0,0.05660377358490566,0,0.05660377358490566
"2024-08-03 00:00:00.000000000",48,0,48,16,1,0,1,0,0,0,0,0,0,0,0,0,0.020833333333333332,0,0.020833333333333332
"2024-08-04 00:00:00.000000000",27,0,27,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-08-05 00:00:00.000000000",28,0,28,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-08-06 00:00:00.000000000",7,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-08-07 00:00:00.000000000",245,0,245,96,17,0,17,0,0,0,0,0,0,0,0,0,0.04081632653061224,0,0.06938775510204082
"2024-08-08 00:00:00.000000000",406,0,406,169,37,0,37,12,0,12,0,0,0,3,0,3,0.12807881773399016,0,0.12807881773399016
"2024-08-09 00:00:00.000000000",258,0,258,112,12,0,12,4,0,4,0,0,0,0,0,0,0.06201550387596899,0,0.06201550387596899
"2024-08-10 00:00:00.000000000",201,0,201,112,5,0,5,2,0,2,0,0,0,0,0,0,0.03482587064676617,0,0.03482587064676617
"2024-08-11 00:00:00.000000000",1194,0,1194,526,130,0,130,11,0,11,1,0,1,1,0,1,0.11976549413735343,0,0.11976549413735343
"2024-08-12 00:00:00.000000000",653,0,653,316,59,0,59,8,0,8,2,0,2,0,0,0,0.10566615620214395,0,0.10566615620214395
"2024-08-13 00:00:00.000000000",308,0,308,140,15,0,15,4,0,4,1,0,1,0,0,0,0.06493506493506493,0,0.06493506493506493
"2024-08-14 00:00:00.000000000",90,0,90,43,5,0,5,1,0,1,0,0,0,0,0,0,0.06666666666666667,0,0.06666666666666667
"2024-08-15 00:00:00.000000000",99,0,99,36,0,0,0,1,0,1,0,0,0,0,0,0,0.010101010101010102,0,0.010101010101010102
"2024-08-16 00:00:00.000000000",49,0,49,18,3,0,3,0,0,0,0,0,0,0,0,0,0.061224489795918366,0,0.061224489795918366
"2024-08-17 00:00:00.000000000",845,0,845,555,35,0,35,27,0,27,1,0,1,1,0,1,0.0757396449704142,0,0.0757396449704142
"2024-08-18 00:00:00.000000000",281,0,281,173,20,0,20,7,0,7,0,0,0,0,0,0,0.09608540925266904,0,0.09608540925266904
"2024-08-19 00:00:00.000000000",158,0,158,117,5,0,5,7,0,7,0,0,0,0,0,0,0.0759493670886076,0,0.0759493670886076
"2024-08-20 00:00:00.000000000",129,0,129,89,7,0,7,6,0,6,0,0,0,0,0,0,0.10077519379844961,0,0.10077519379844961
"2024-08-21 00:00:00.000000000",128,0,128,74,5,0,5,1,0,1,0,0,0,0,0,0,0.046875,0,0.046875
"2024-08-22 00:00:00.000000000",101,0,101,46,8,0,8,1,0,1,0,0,0,0,0,0,0.0891089108910891,0,0.0891089108910891
"2024-08-23 00:00:00.000000000",73,0,73,40,1,0,1,3,0,3,1,0,1,0,0,0,0.0684931506849315,0,0.0684931506849315
"2024-08-24 00:00:00.000000000",109,0,109,66,6,0,6,3,0,3,0,0,0,0,0,0,0.08256880733944955,0,0.08256880733944955
"2024-08-25 00:00:00.000000000",59,0,59,33,5,0,5,1,0,1,0,0,0,0,0,0,0.1016949152542373,0,0.1016949152542373
"2024-08-26 00:00:00.000000000",78,0,78,54,2,0,2,2,0,2,0,0,0,0,0,0,0.05128205128205128,0,0.05128205128205128
"2024-08-27 00:00:00.000000000",104,0,104,51,3,0,3,1,0,1,0,0,0,0,0,0,0.038461538461538464,0,0.038461538461538464
"2024-08-28 00:00:00.000000000",86,0,86,28,3,0,3,0,0,0,0,0,0,0,0,0,0.03488372093023256,0,0.03488372093023256
"2024-08-29 00:00:00.000000000",80,0,80,26,2,0,2,0,0,0,0,0,0,0,0,0,0.025,0,0.025
"2024-08-30 00:00:00.000000000",374,0,374,138,22,0,22,5,0,5,1,0,1,0,0,0,0.0748663101604278,0,0.0748663101604278
"2024-08-31 00:00:00.000000000",399,0,399,121,9,0,9,1,0,1,1,0,1,0,0,0,0.02756892230576441,0,0.02756892230576441
"2024-09-01 00:00:00.000000000",1082,0,1082,411,116,0,116,23,0,23,1,0,1,1,0,1,0.13031423290203328,0,0.13031423290203328
"2024-09-02 00:00:00.000000000",716,0,716,300,65,0,65,8,0,8,2,0,2,0,0,0,0.10474860335195531,0,0.10474860335195531
"2024-09-03 00:00:00.000000000",242,0,242,95,13,0,13,4,0,4,0,0,0,0,0,0,0.07024793388429752,0,0.07024793388429752
"2024-09-04 00:00:00.000000000",226,0,226,104,24,0,24,4,0,4,2,0,2,0,0,0,0.13274336283185842,0,0.13274336283185842
"2024-09-05 00:00:00.000000000",213,0,213,92,14,0,14,0,0,0,0,0,0,0,0,0,0.06572769953051644,0,0.06572769953051644
"2024-09-06 00:00:00.000000000",108,0,108,68,7,0,7,0,0,0,0,0,0,0,0,0,0.06481481481481481,0,0.06481481481481481
"2024-09-07 00:00:00.000000000",103,0,103,51,11,0,11,1,0,1,0,0,0,0,0,0,0.11650485436893204,0,0.11650485436893204
"2024-09-08 00:00:00.000000000",41,0,41,25,12,0,12,1,0,1,0,0,0,0,0,0,0.3170731707317073,0,0.3170731707317073
"2024-09-09 00:00:00.000000000",42,0,42,24,1,0,1,0,0,0,0,0,0,0,0,0,0.023809523809523808,0,0.023809523809523808
"2024-09-10 00:00:00.000000000",35,0,35,24,1,0,1,0,0,0,0,0,0,0,0,0,0.02857142857142857,0,0.02857142857142857
"2024-09-11 00:00:00.000000000",129,0,129,62,12,0,12,0,0,0,1,0,1,0,0,0,0.10077519379844961,0,0.10077519379844961
"2024-09-12 00:00:00.000000000",165,0,165,79,5,0,5,0,0,0,0,0,0,0,0,0,0.030303030303030304,0,0.030303030303030304
"2024-09-13 00:00:00.000000000",233,0,233,124,19,0,19,3,0,3,0,0,0,0,0,0,0.0944206008583691,0,0.0944206008583691
"2024-09-14 00:00:00.000000000",117,0,117,80,5,0,5,2,0,2,0,0,0,0,0,0,0.05982905982905983,0,0.05982905982905983
"2024-09-15 00:00:00.000000000",85,0,85,38,8,0,8,1,0,1,0,0,0,0,0,0,0.10588235294117647,0,0.10588235294117647
"2024-09-16 00:00:00.000000000",106,0,106,40,4,0,4,0,0,0,0,0,0,0,0,0,0.03773584905660377,0,0.03773584905660377
"2024-09-17 00:00:00.000000000",41,0,41,23,2,0,2,0,0,0,0,0,0,0,0,0,0.04878048780487805,0,0.04878048780487805
"2024-09-18 00:00:00.000000000",63,0,63,23,2,0,2,0,0,0,0,0,0,0,0,0,0.031746031746031744,0,0.031746031746031744
"2024-09-19 00:00:00.000000000",152,0,152,42,8,0,8,0,0,0,0,0,0,0,0,0,0.05263157894736842,0,0.05263157894736842
"2024-09-20 00:00:00.000000000",661,0,661,273,76,0,76,17,0,17,0,0,0,0,0,0,0.14069591527987896,0,0.14069591527987896
"2024-09-21 00:00:00.000000000",159,0,159,65,11,0,11,3,0,3,0,0,0,0,0,0,0.0880503144654088,0,0.0880503144654088
"2024-09-22 00:00:00.000000000",315,0,315,140,11,0,11,2,0,2,0,0,0,1,0,1,0.044444444444444446,0,0.044444444444444446
"2024-09-23 00:00:00.000000000",161,0,161,88,9,0,9,1,0,1,0,0,0,0,0,0,0.062111801242236024,0,0.062111801242236024
"2024-09-24 00:00:00.000000000",79,0,79,30,12,0,12,0,0,0,0,0,0,0,0,0,0.1518987341772152,0,0.1518987341772152
"2024-09-25 00:00:00.000000000",62,0,62,27,4,0,4,1,0,1,0,0,0,0,0,0,0.08064516129032258,0,0.08064516129032258
"2024-09-26 00:00:00.000000000",70,0,70,27,6,0,6,1,0,1,0,0,0,0,0,0,0.1,0,0.1
"2024-09-27 00:00:00.000000000",75,0,75,44,1,0,1,1,0,1,0,0,0,0,0,0,0.02666666666666667,0,0.02666666666666667
"2024-09-28 00:00:00.000000000",54,0,54,25,2,0,2,1,0,1,0,0,0,0,0,0,0.05555555555555555,0,0.05555555555555555
"2024-09-29 00:00:00.000000000",44,0,44,24,3,0,3,0,0,0,0,0,0,0,0,0,0.06818181818181818,0,0.06818181818181818
"2024-09-30 00:00:00.000000000",37,0,37,19,0,0,0,1,0,1,0,0,0,0,0,0,0.02702702702702703,0,0.02702702702702703
"2024-10-01 00:00:00.000000000",107,0,107,19,6,0,6,0,0,0,0,0,0,0,0,0,0.056074766355140186,0,0.056074766355140186
"2024-10-02 00:00:00.000000000",20,0,20,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-10-03 00:00:00.000000000",19,0,19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-10-04 00:00:00.000000000",22,0,22,12,1,0,1,0,0,0,0,0,0,0,0,0,0.045454545454545456,0,0.045454545454545456
"2024-10-05 00:00:00.000000000",26,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-10-06 00:00:00.000000000",64,0,64,19,5,0,5,0,0,0,0,0,0,0,0,0,0.078125,0,0.078125
"2024-10-07 00:00:00.000000000",24,0,24,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-10-08 00:00:00.000000000",130,0,130,63,8,0,8,3,0,3,2,0,2,2,0,2,0.11538461538461539,0,0.11538461538461539
"2024-10-09 00:00:00.000000000",250,0,250,68,16,0,16,3,0,3,0,0,0,0,0,0,0.076,0,0.076
"2024-10-10 00:00:00.000000000",62,0,62,35,2,0,2,1,0,1,0,0,0,0,0,0,0.04838709677419355,0,0.04838709677419355
"2024-10-11 00:00:00.000000000",19,0,19,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-10-12 00:00:00.000000000",32,0,32,15,1,0,1,0,0,0,0,0,0,0,0,0,0.03125,0,0.03125
"2024-10-13 00:00:00.000000000",323,0,323,93,20,0,20,4,0,4,0,0,0,0,0,0,0.07430340557275542,0,0.07430340557275542
"2024-10-14 00:00:00.000000000",243,0,243,88,14,0,14,0,0,0,0,0,0,0,0,0,0.05761316872427984,0,0.05761316872427984
"2024-10-15 00:00:00.000000000",45,0,45,18,2,0,2,2,0,2,0,0,0,0,0,0,0.08888888888888889,0,0.08888888888888889
"2024-10-16 00:00:00.000000000",190,0,190,83,5,0,5,4,0,4,0,0,0,0,0,0,0.04736842105263158,0,0.04736842105263158
"2024-10-17 00:00:00.000000000",25,0,25,14,3,0,3,0,0,0,0,0,0,0,0,0,0.12,0,0.12
"2024-10-18 00:00:00.000000000",40,0,40,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-10-19 00:00:00.000000000",113,0,113,18,7,0,7,0,0,0,0,0,0,0,0,0,0.061946902654867256,0,0.061946902654867256
"2024-10-20 00:00:00.000000000",76,0,76,15,4,0,4,0,0,0,0,0,0,0,0,0,0.05263157894736842,0,0.05263157894736842
"2024-10-21 00:00:00.000000000",91,0,91,13,8,0,8,0,0,0,0,0,0,0,0,0,0.08791208791208792,0,0.08791208791208792
"2024-10-22 00:00:00.000000000",219,0,219,78,30,0,30,8,0,8,0,0,0,0,0,0,0.1735159817351598,0,0.1735159817351598
"2024-10-23 00:00:00.000000000",411,0,411,220,30,0,30,12,0,12,0,0,0,4,0,4,0.11192214111922141,0,0.11192214111922141
"2024-10-24 00:00:00.000000000",301,0,301,138,8,0,8,7,0,7,0,0,0,0,0,0,0.04983388704318937,0,0.04983388704318937
"2024-10-25 00:00:00.000000000",87,0,87,40,3,0,3,1,0,1,0,0,0,0,0,0,0.04597701149425287,0,0.04597701149425287
"2024-10-26 00:00:00.000000000",109,0,109,33,3,0,3,0,0,0,0,0,0,0,0,0,0.027522935779816515,0,0.027522935779816515
"2024-10-27 00:00:00.000000000",43,0,43,23,8,0,8,0,0,0,0,0,0,0,0,0,0.18604651162790697,0,0.18604651162790697
"2024-10-28 00:00:00.000000000",13,0,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-10-29 00:00:00.000000000",29,0,29,16,3,0,3,0,0,0,0,0,0,0,0,0,0.10344827586206896,0,0.10344827586206896
"2024-10-30 00:00:00.000000000",40,0,40,21,4,0,4,0,0,0,0,0,0,0,0,0,0.1,0,0.1
"2024-10-31 00:00:00.000000000",41,0,41,21,6,0,6,0,0,0,0,0,0,0,0,0,0.14634146341463414,0,0.14634146341463414
"2024-11-01 00:00:00.000000000",33,0,33,12,2,0,2,0,0,0,0,0,0,0,0,0,0.06060606060606061,0,0.06060606060606061
"2024-11-02 00:00:00.000000000",56,0,56,14,3,0,3,0,0,0,0,0,0,0,0,0,0.05357142857142857,0,0.05357142857142857
"2024-11-03 00:00:00.000000000",42,0,42,21,1,0,1,0,0,0,0,0,0,0,0,0,0.023809523809523808,0,0.023809523809523808
"2024-11-04 00:00:00.000000000",35,0,35,19,1,0,1,0,0,0,0,0,0,0,0,0,0.02857142857142857,0,0.02857142857142857
"2024-11-05 00:00:00.000000000",31,0,31,13,3,0,3,0,0,0,0,0,0,0,0,0,0.0967741935483871,0,0.0967741935483871
"2024-11-06 00:00:00.000000000",6,0,6,5,0,0,0,1,0,1,0,0,0,0,0,0,0.16666666666666666,0,0.16666666666666666
"2024-11-07 00:00:00.000000000",26,0,26,18,1,0,1,0,0,0,0,0,0,0,0,0,0.038461538461538464,0,0.038461538461538464
"2024-11-08 00:00:00.000000000",43,0,43,17,3,0,3,0,0,0,0,0,0,0,0,0,0.06976744186046512,0,0.06976744186046512
"2024-11-09 00:00:00.000000000",128,0,128,49,4,0,4,0,0,0,0,0,0,0,0,0,0.03125,0,0.03125
"2024-11-10 00:00:00.000000000",194,0,194,98,7,0,7,3,0,3,0,0,0,1,0,1,0.05670103092783505,0,0.05670103092783505
"2024-11-11 00:00:00.000000000",95,0,95,48,4,0,4,0,0,0,0,0,0,0,0,0,0.042105263157894736,0,0.042105263157894736
"2024-11-12 00:00:00.000000000",45,0,45,25,5,0,5,1,0,1,0,0,0,0,0,0,0.13333333333333333,0,0.13333333333333333
"2024-11-13 00:00:00.000000000",30,0,30,14,3,0,3,0,0,0,0,0,0,0,0,0,0.1,0,0.1
"2024-11-14 00:00:00.000000000",39,0,39,14,3,0,3,0,0,0,0,0,0,0,0,0,0.07692307692307693,0,0.07692307692307693
"2024-11-15 00:00:00.000000000",28,0,28,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-11-16 00:00:00.000000000",14,0,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-11-17 00:00:00.000000000",22,0,22,9,1,0,1,0,0,0,0,0,0,0,0,0,0.045454545454545456,0,0.045454545454545456
"2024-11-18 00:00:00.000000000",31,0,31,16,1,0,1,0,0,0,0,0,0,0,0,0,0.03225806451612903,0,0.03225806451612903
"2024-11-19 00:00:00.000000000",15,0,15,7,1,0,1,0,0,0,0,0,0,0,0,0,0.06666666666666667,0,0.06666666666666667
"2024-11-20 00:00:00.000000000",90,0,90,47,2,0,2,0,0,0,0,0,0,0,0,0,0.022222222222222223,0,0.022222222222222223
"2024-11-21 00:00:00.000000000",45,0,45,18,1,0,1,2,0,2,0,0,0,0,0,0,0.06666666666666667,0,0.06666666666666667
"2024-11-22 00:00:00.000000000",13,0,13,7,1,0,1,1,0,1,0,0,0,0,0,0,0.15384615384615385,0,0.15384615384615385
