Traffic source,Views,Watch time (hours),Average view duration,Impressions,Impressions click-through rate (%)
Total,8244,531.8714,0:03:53,71105,5.15
Browse features,2640,172.4421,0:03:55,27682,7.55
External,2243,121.3985,0:03:15,,
YouTube search,1229,81.4411,0:03:58,9249,11.55
Direct or unknown,989,84.7175,0:05:09,,
Channel pages,435,15.0603,0:02:04,7607,4.85
Other YouTube features,307,38.7141,0:07:33,,
Suggested videos,179,14.1568,0:04:44,26164,0.46
Shorts feed,167,0.4344,0:00:09,,
Playlists,26,2.4236,0:05:35,403,3.72
Notifications,20,0.4377,0:01:18,,
End screens,9,0.6454,0:04:18,,
